company_id,company_name,inn,ogrn_year,region,okved_code,okved_section,founder_id,address_hash
C0073,АО «Капитал-Логистик-073»,1912755756,2018,Республика Тыва,69.2,Аудит и бухгалтерия,FND-43730,b4d8c3b407f9
C0074,ПАО «Восточный-Трейд-074»,4624274538,2015,Костромская обл.,43.21,Электромонтажные работы,FND-35430,30f48cd3c7e7
C0075,АО «Металл-Пром-075»,4116804397,2019,Новгородская обл.,68.2,Аренда недвижимости,FND-26341,722caafb4825
C0076,ООО «Инвест-Инвест-076»,988943330,2023,Ульяновская обл.,62.01,Разработка ПО,FND-13694,23e846638607
C0077,ООО «Монолит-Логистик-077»,6174002857,2015,Республика Хакасия,70.22,Управленческий консалтинг,FND-65476,0e087ec55dcb
C0078,АО «Техно-Ко-078»,6084565720,2018,Ивановская обл.,62.02,IT-консалтинг,FND-41531,52ff52aa56d1
C0079,ООО «Металл-Пром-079»,5953469207,2020,Удмуртская Республика,10.71,Производство хлебобулочных изделий,FND-41604,ef2a4be5473a
C0080,АО «Инвест-Инжиниринг-080»,1746680742,2023,Свердловская обл.,41.2,Строительство зданий,FND-36144,7f5d04d189df
C0081,АО «Логист-Трейд-081»,7137831387,2023,Томская обл.,2.4,Лесозаготовка,FND-54438,4aa0e93b9188
C0082,АО «Финанс-Групп-082»,7068530636,2023,Республика Саха (Якутия),69.2,Аудит и бухгалтерия,FND-31842,9d702ffd99ad
C0083,АО «Техно-Ко-083»,9063869167,2021,Краснодарский край,69.2,Аудит и бухгалтерия,FND-26545,c667d53acd89
C0084,ПАО «Вектор-Инжиниринг-084»,4340133290,2008,Оренбургская обл.,69.2,Аудит и бухгалтерия,FND-75410,97de76211cd2
C0085,ПАО «Восточный-Маркет-085»,9294184840,2023,Республика Крым,25.11,Производство металлоконструкций,FND-97535,5ba47c07b9b6
C0086,ООО «Союз-Корп-086»,9675121705,2019,Вологодская обл.,11.01,Производство алкогольных напитков,FND-71263,799fc232a527
C0087,ПАО «Южный-Ко-087»,4513045185,2022,Республика Адыгея,10.71,Производство хлебобулочных изделий,FND-33850,bdc4626aa1d1
C0088,ООО «Прогресс-Сервис-088»,9295201926,2019,Республика Калмыкия,25.11,Производство металлоконструкций,FND-79924,99adff456950
C0089,ООО «Мастер-Торг-089»,7685800656,2023,Республика Крым,20.16,Производство пластмасс,FND-64602,7380ad8a6732
C0090,АО «Строй-Ко-090»,8446144318,2019,Архангельская обл.,11.01,Производство алкогольных напитков,FND-55268,90fd26a243f6
C0091,ООО «Восточный-Групп-091»,2202362813,2020,Карачаево-Черкесская Республика,2.4,Лесозаготовка,FND-50988,9e6a921fbc42
C0092,АО «Альфа-Групп-092»,9592304864,2019,Курганская обл.,2.4,Лесозаготовка,FND-11071,17ed8abedc25
C0093,ООО «Северный-Трейд-093»,5150572961,2020,Красноярский край,69.2,Аудит и бухгалтерия,FND-61629,c77cfd5563c8
C0094,ООО «Бизнес-Пром-094»,4007851819,2015,Архангельская обл.,11.01,Производство алкогольных напитков,FND-31299,6c81c83c4bd0
C0095,ПАО «Кристалл-Корп-095»,5403143886,2023,Чеченская Республика,20.16,Производство пластмасс,FND-72205,d8a4e572d866
C0096,ПАО «Кристалл-Плюс-096»,5773825714,2008,Смоленская обл.,20.16,Производство пластмасс,FND-29848,1819fb9034f7
C0097,ПАО «Партнёр-Трейд-097»,7559439455,2022,Чукотский АО,2.4,Лесозаготовка,FND-44650,812649f8ed0e
C0098,ООО «Монолит-Ко-098»,2273397216,2019,Тамбовская обл.,52.29,Транспортная логистика,FND-61712,2d13dd919b0e
C0099,АО «Восточный-Инжиниринг-099»,2425961652,2012,Республика Хакасия,62.02,IT-консалтинг,FND-39579,143758ee65fb
C0100,ПАО «Капитал-Плюс-100»,594984193,2012,Чукотский АО,70.22,Управленческий консалтинг,FND-17754,6d9cb7de5e8a
C0101,ООО «Южный-Плюс-101»,9087178202,2008,Республика Ингушетия,11.01,Производство алкогольных напитков,FND-24064,c900ced7451d
C0102,ПАО «Восточный-Холдинг-102»,1114217757,2015,Кемеровская обл.,11.01,Производство алкогольных напитков,FND-90079,16bda725ae44
C0103,ООО «Вектор-Логистик-103»,3222793706,2012,Ярославская обл.,70.22,Управленческий консалтинг,FND-18142,136f951362da
C0104,ПАО «Промт-Инжиниринг-104»,9262117645,2019,Костромская обл.,56.1,Рестораны и кафе,FND-80453,0d441de75945
C0105,ПАО «Восточный-Пром-105»,7050555135,2023,Республика Крым,86.21,Частная медицина,FND-99167,07f75d914491
C0106,ООО «Восточный-Плюс-106»,5404873875,2022,Свердловская обл.,10.71,Производство хлебобулочных изделий,FND-69325,544defa9fddf
C0107,АО «Омега-Холдинг-107»,4779649389,2012,Тамбовская обл.,46.9,Оптовая торговля,FND-20518,0c72cb7ee151
C0108,АО «Металл-Плюс-108»,7200265582,2023,Удмуртская Республика,25.11,Производство металлоконструкций,FND-30332,7109af321d97
C0109,ПАО «Капитал-Трейд-109»,2054682045,2021,Республика Татарстан,46.9,Оптовая торговля,FND-28367,ce2b9a26bddc
C0110,ООО «Монолит-Плюс-110»,9542557165,2020,Новосибирская обл.,20.16,Производство пластмасс,FND-55143,c783eed3cfc1
C0111,АО «Прогресс-Ко-111»,5228140445,2019,Томская обл.,55.1,Гостиницы,FND-41831,1558417b096b
C0112,ООО «Ресурс-Корп-112»,8036008562,2020,Хабаровский край,10.71,Производство хлебобулочных изделий,FND-53642,a48251d4c143
C0113,ПАО «Капитал-Логистик-113»,9673232463,2012,Ямало-Ненецкий АО,49.41,Грузоперевозки автомобильным транспортом,FND-77215,e2c4c0b38669
C0114,АО «Южный-Трейд-114»,5212954133,2020,Калининградская обл.,70.22,Управленческий консалтинг,FND-75444,e6ff107459d4
C0115,ПАО «Техно-Корп-115»,4171749560,2023,Республика Крым,62.01,Разработка ПО,FND-19742,7c590f014901
C0116,ООО «Союз-Плюс-116»,536664405,2018,Санкт-Петербург,41.2,Строительство зданий,FND-12192,1a638db83114
C0117,ООО «Промт-Групп-117»,5262370942,2021,Ульяновская обл.,62.02,IT-консалтинг,FND-49318,f9be311e65d8
C0118,АО «Ресурс-Логистик-118»,14475805,2021,Иркутская обл.,2.4,Лесозаготовка,FND-40115,51e6d6e67995
C0119,ООО «Мастер-Холдинг-119»,8509395773,2008,Ростовская обл.,20.16,Производство пластмасс,FND-49226,98b418276d57
C0120,АО «Северный-Ко-120»,7760730206,2023,Республика Калмыкия,56.1,Рестораны и кафе,FND-88067,1e0f65eb20ac
C0121,АО «Строй-Сервис-121»,5315372202,2022,Тамбовская обл.,47.11,Розничная торговля,FND-93086,6be93f7a96fe
C0122,АО «Восточный-Сервис-122»,7104551055,2008,Курская обл.,69.2,Аудит и бухгалтерия,FND-60493,e2c0be24560d
C0123,ООО «Премиум-Пром-123»,1313404440,2023,Тверская обл.,10.71,Производство хлебобулочных изделий,FND-42321,9465ce9a7904
C0124,ООО «Северный-Сервис-124»,8384486536,2019,Ханты-Мансийский АО,68.2,Аренда недвижимости,FND-72784,482db0ecc10b
C0125,ПАО «Финанс-Маркет-125»,3273919170,2022,Псковская обл.,70.22,Управленческий консалтинг,FND-37479,0e674a918ebc
C0126,ПАО «Кристалл-Плюс-126»,6267709445,2021,Смоленская обл.,10.71,Производство хлебобулочных изделий,FND-81256,d86ea612dec9
C0127,ООО «Капитал-Маркет-127»,6360963794,2012,Санкт-Петербург,11.01,Производство алкогольных напитков,FND-22924,fd272fe04b7d
C0128,АО «Гранит-Инвест-128»,4661942908,2018,Тюменская обл.,11.01,Производство алкогольных напитков,FND-55656,250b164d84ea
C0129,ООО «Восточный-Корп-129»,6338186619,2022,Калининградская обл.,2.4,Лесозаготовка,FND-77632,a226e450e214
C0130,ООО «Финанс-Инвест-130»,6163784402,2022,Владимирская обл.,11.01,Производство алкогольных напитков,FND-18200,1a669e81c809
C0131,АО «Промт-Холдинг-131»,6493331341,2018,Липецкая обл.,43.21,Электромонтажные работы,FND-90541,8c74b88f3daf
C0132,ООО «Прогресс-Сервис-132»,6541316669,2019,Севастополь,70.22,Управленческий консалтинг,FND-31871,1ecdec353419
C0133,АО «Альфа-Логистик-133»,1895464840,2008,Ленинградская обл.,70.22,Управленческий консалтинг,FND-38905,1d3b7f1f8a76
C0134,ПАО «Партнёр-Ко-134»,7511783807,2023,Республика Крым,11.01,Производство алкогольных напитков,FND-38644,dba4c1a11747
C0135,АО «Логист-Сервис-135»,8081827686,2008,Республика Саха (Якутия),52.29,Транспортная логистика,FND-31755,d6bcb486f72a
C0136,АО «Бизнес-Пром-136»,1925959817,2023,Республика Дагестан,46.9,Оптовая торговля,FND-17770,78f1893678af
C0137,ООО «Капитал-Инжиниринг-137»,3166307747,2020,Вологодская обл.,41.2,Строительство зданий,FND-69597,74f23f9e28cb
C0138,ПАО «Мастер-Корп-138»,3052422835,2022,Кабардино-Балкарская Республика,10.71,Производство хлебобулочных изделий,FND-73614,a2232b5b6b17
C0139,ООО «Промт-Плюс-139»,4092616192,2022,Ненецкий АО,46.9,Оптовая торговля,FND-57242,5e02b868a916
C0140,ПАО «Союз-Ко-140»,2670412606,2019,Воронежская обл.,43.21,Электромонтажные работы,FND-65353,32e05616c8ed
C0141,ООО «Атлас-Сервис-141»,8177191506,2012,Республика Бурятия,56.1,Рестораны и кафе,FND-56030,6c91724b896c
C0142,ООО «Сигма-Групп-142»,1173472626,2022,Республика Ингушетия,55.1,Гостиницы,FND-47345,a8abb4bb284b
C0143,ООО «Партнёр-Инвест-143»,2089414559,2023,Ямало-Ненецкий АО,62.02,IT-консалтинг,FND-51480,6e5025ccc7d6
C0144,АО «Капитал-Групп-144»,20075654,2015,Забайкальский край,55.1,Гостиницы,FND-20803,dc91d6e23d85
C0145,ПАО «Трейд-Ко-145»,1357663492,2023,Республика Крым,62.01,Разработка ПО,FND-21300,2adee8815dd9
C0146,ООО «Альфа-Корп-146»,1043582378,2015,Воронежская обл.,86.21,Частная медицина,FND-13847,d902c3ce4712
C0147,АО «Восточный-Пром-147»,3453215725,2012,Свердловская обл.,2.4,Лесозаготовка,FND-11610,ab8df9f7733d
C0148,ООО «Ресурс-Ко-148»,9743472035,2015,Новосибирская обл.,56.1,Рестораны и кафе,FND-33507,a22d33b4a00c
C0149,АО «Капитал-Холдинг-149»,3502536454,2022,Ханты-Мансийский АО,56.1,Рестораны и кафе,FND-81638,621c090c3a61
C0150,ПАО «Инвест-Корп-150»,8906871524,2020,Республика Татарстан,47.11,Розничная торговля,FND-28661,43cf3ae60279
C0151,АО «Партнёр-Групп-151»,5563506128,2020,Астраханская обл.,2.4,Лесозаготовка,FND-52762,c5d215777c22
C0152,ПАО «Промт-Плюс-152»,1431374480,2015,Липецкая обл.,10.71,Производство хлебобулочных изделий,FND-69325,544defa9fddf
C0153,АО «Северный-Пром-153»,281985501,2018,Саратовская обл.,41.2,Строительство зданий,FND-25919,084b6fbb1072
C0154,АО «Мастер-Инжиниринг-154»,9059091680,2021,Брянская обл.,41.2,Строительство зданий,FND-26059,e5841df2166d
C0155,ПАО «Северный-Логистик-155»,612128062,2021,Кировская обл.,43.21,Электромонтажные работы,FND-75390,f77ecc17109b
C0156,ООО «Южный-Маркет-156»,6729503747,2021,Удмуртская Республика,46.9,Оптовая торговля,FND-84141,e61eaa38aed6
C0157,ООО «Финанс-Ко-157»,2843521225,2018,Республика Татарстан,43.21,Электромонтажные работы,FND-38758,70d85f35a1fd
C0158,ООО «Строй-Торг-158»,3735735198,2015,Республика Мордовия,69.2,Аудит и бухгалтерия,FND-81057,1e747ddbea99
C0159,ООО «Металл-Логистик-159»,921798305,2018,Тюменская обл.,10.71,Производство хлебобулочных изделий,FND-43730,33c5f5bff65a
C0160,ПАО «Промт-Сервис-160»,3119796196,2021,Республика Калмыкия,69.2,Аудит и бухгалтерия,FND-56769,30a237d18c50
C0161,ООО «Прогресс-Корп-161»,758751386,2019,Еврейская АО,43.21,Электромонтажные работы,FND-84127,8bb88f80d334
C0162,АО «Атлас-Плюс-162»,6986730263,2018,Республика Башкортостан,70.22,Управленческий консалтинг,FND-10167,68053af2923e
C0163,АО «Северный-Сервис-163»,5148661082,2021,Архангельская обл.,55.1,Гостиницы,FND-44226,66be31e4c40d
C0164,ПАО «Сигма-Сервис-164»,5640918112,2012,Приморский край,56.1,Рестораны и кафе,FND-63645,ca5150ff1c65
C0165,ООО «Промт-Трейд-165»,3540008640,2019,Хабаровский край,62.01,Разработка ПО,FND-32391,a376802c0811
C0166,АО «Кристалл-Инжиниринг-166»,2633310428,2021,Кабардино-Балкарская Республика,25.11,Производство металлоконструкций,FND-18079,4c8c76b39d29
C0167,ПАО «Южный-Ко-167»,5588458484,2020,Самарская обл.,25.11,Производство металлоконструкций,FND-61747,8b16ebc056e6
C0168,ООО «Капитал-Логистик-168»,1998149496,2015,Чеченская Республика,20.16,Производство пластмасс,FND-43801,23fa71cc32ba
C0169,АО «Ресурс-Сервис-169»,8590757115,2023,Республика Северная Осетия,10.71,Производство хлебобулочных изделий,FND-23133,b29eed442761
C0170,АО «Логист-Инвест-170»,6541466438,2020,Ярославская обл.,62.02,IT-консалтинг,FND-16460,80a160ff3126
C0171,АО «Логист-Логистик-171»,8692377376,2019,Челябинская обл.,69.2,Аудит и бухгалтерия,FND-43730,937ea3f7714d
C0172,ООО «Металл-Ко-172»,1351880188,2020,Калининградская обл.,1.11,Выращивание зерновых,FND-14334,ca9541826e97
C0173,ПАО «Северный-Инжиниринг-173»,9624494538,2022,Тульская обл.,49.41,Грузоперевозки автомобильным транспортом,FND-21847,722caafb4825
C0174,ООО «Техно-Маркет-174»,6240770966,2018,Иркутская обл.,2.4,Лесозаготовка,FND-39329,93da579a65ce
C0175,АО «Северный-Сервис-175»,4235650998,2019,Севастополь,62.02,IT-консалтинг,FND-94848,c5a8c45bb92b
C0176,АО «Техно-Сервис-176»,8278217888,2020,Чеченская Республика,25.11,Производство металлоконструкций,FND-62965,2adcefe38fbc
C0177,АО «Северный-Инвест-177»,7598376649,2019,Ивановская обл.,1.11,Выращивание зерновых,FND-76494,76b7a3a5cf67
C0178,АО «Вектор-Корп-178»,2871630373,2012,Брянская обл.,11.01,Производство алкогольных напитков,FND-58717,39b8f7215826
C0179,АО «Трейд-Пром-179»,1654819398,2012,Орловская обл.,25.11,Производство металлоконструкций,FND-28772,1d98edfd003b
C0180,АО «Техно-Трейд-180»,271747066,2023,Республика Крым,10.71,Производство хлебобулочных изделий,FND-66233,1e669a61fb93
C0181,ООО «Атлас-Ко-181»,8166263135,2020,Ставропольский край,11.01,Производство алкогольных напитков,FND-18557,b137fdd1f79d
C0182,АО «Южный-Инжиниринг-182»,9393199427,2023,Волгоградская обл.,68.2,Аренда недвижимости,FND-37681,e7b24b112a44
C0183,АО «Техно-Холдинг-183»,7650180141,2008,Тверская обл.,25.11,Производство металлоконструкций,FND-72180,8db9264228dc
C0184,ПАО «Металл-Холдинг-184»,6748562746,2012,Тульская обл.,47.11,Розничная торговля,FND-43730,b848edae2587
C0185,АО «Трейд-Корп-185»,9306986105,2023,Красноярский край,62.02,IT-консалтинг,FND-43540,deb74a85a4a6
C0186,ООО «Омега-Холдинг-186»,3641880163,2012,Республика Бурятия,62.01,Разработка ПО,FND-91501,b4aa00bc1c59
C0187,ООО «Северный-Инвест-187»,9238767160,2015,Алтайский край,69.2,Аудит и бухгалтерия,FND-23593,f845cbb24a82
C0188,ПАО «Северный-Ко-188»,3068919140,2015,Тульская обл.,20.16,Производство пластмасс,FND-95848,4a3050ae2c77
C0189,ПАО «Атлас-Пром-189»,5706236385,2018,Республика Калмыкия,2.4,Лесозаготовка,FND-17152,0aa1883c6411
C0190,ООО «Сигма-Ко-190»,4290264248,2022,Республика Коми,2.4,Лесозаготовка,FND-21536,feb93033a7ab
C0191,ООО «Северный-Инвест-191»,587968564,2008,Республика Крым,1.11,Выращивание зерновых,FND-57624,024d7f84fff1
C0192,ПАО «Мастер-Сервис-192»,7172389257,2022,Свердловская обл.,68.2,Аренда недвижимости,FND-31516,a7d9277053b8
C0193,ООО «Промт-Инвест-193»,2813706618,2018,Орловская обл.,55.1,Гостиницы,FND-96305,ab49b208848a
C0194,ПАО «Южный-Торг-194»,4591571368,2008,Республика Карелия,1.11,Выращивание зерновых,FND-60418,31a6b5568bbb
C0195,АО «Восточный-Ко-195»,1477278796,2020,Ханты-Мансийский АО,52.29,Транспортная логистика,FND-37487,0d2b2061826a
C0196,ПАО «Ресурс-Корп-196»,6775597685,2015,Республика Саха (Якутия),41.2,Строительство зданий,FND-11673,7439aebdba05
C0197,ООО «Логист-Ко-197»,7961072534,2008,Республика Калмыкия,41.2,Строительство зданий,FND-98542,5118af073644
C0198,ПАО «Монолит-Корп-198»,6939935026,2023,Республика Крым,11.01,Производство алкогольных напитков,FND-39563,a70dab11c90d
C0199,АО «Восточный-Плюс-199»,9097102218,2018,Москва,86.21,Частная медицина,FND-53327,bc3ea21614e0
C0200,ПАО «Омега-Ко-200»,9664537321,2020,Нижегородская обл.,46.9,Оптовая торговля,FND-76209,1175defd049d
C0201,ООО «Мастер-Сервис-201»,3296457613,2018,Ярославская обл.,56.1,Рестораны и кафе,FND-94182,d464b5ac99e7
C0202,АО «Логист-Пром-202»,7057554263,2012,Самарская обл.,70.22,Управленческий консалтинг,FND-22577,22b1f2e09831
C0203,ООО «Мастер-Инжиниринг-203»,7841579769,2012,Иркутская обл.,11.01,Производство алкогольных напитков,FND-13113,58ec998e5f04
C0204,АО «Ресурс-Групп-204»,5223640656,2015,Республика Тыва,10.71,Производство хлебобулочных изделий,FND-18288,2990cb071c64
C0205,АО «Финанс-Инжиниринг-205»,3074364513,2012,Республика Марий Эл,69.2,Аудит и бухгалтерия,FND-48663,794288f252f4
C0206,ООО «Промт-Трейд-206»,559379346,2023,Амурская обл.,47.11,Розничная торговля,FND-28671,06c284d3f757
C0207,ПАО «Финанс-Торг-207»,8899452007,2015,Сахалинская обл.,62.01,Разработка ПО,FND-53365,805163a0f0f1
C0208,ООО «Атлас-Логистик-208»,4635533402,2012,Ульяновская обл.,52.29,Транспортная логистика,FND-93995,b2005ea31710
C0209,АО «Восточный-Логистик-209»,3351688152,2020,Магаданская обл.,41.2,Строительство зданий,FND-20022,7bccfde7714a
