group_type,group_key,companies_count,risk_companies_count,avg_criticality_score,max_criticality_score,interpretation,interpretation_reason
founder,FND-36765,1,12,3.75,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-36986,1,3,4,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-37395,1,0,1,1,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-37594,1,0,1,1,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-38644,1,3,4,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-39170,1,0,2,2,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-39437,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-39500,2,3,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-40375,1,3,4,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-40841,1,2,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-41205,1,3,4,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-41298,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-41604,1,2,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-42275,1,0,1,1,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-42632,1,3,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-42651,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-43730,2,3,3.6666666666666665,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-44226,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-44973,1,2,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-45784,1,3,3.3333333333333335,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-47784,1,2,4,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-47982,1,0,2,2,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-48769,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-49173,1,3,4,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-49351,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-49855,1,0,1,1,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-50988,1,0,1,1,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-51144,1,0,2,2,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-51482,1,0,1,1,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-52294,1,9,3.6666666666666665,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-52830,1,1,2,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-53072,1,4,3.5,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-53642,1,0,2,2,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-54396,1,0,1,1,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-54558,1,2,3.5,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-55143,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-55526,1,0,1,1,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-55607,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-55656,1,0,2,2,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-55977,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-56073,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-56165,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-56438,1,2,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-56486,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-56771,1,3,4,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-58318,1,9,3.4166666666666665,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-58524,1,3,4,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-58717,1,2,2.25,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-58916,1,2,4,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-59509,1,3,4,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-59941,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-60264,1,0,1,1,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-60493,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-60997,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-61605,1,5,3.6,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-61697,1,2,4,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-62965,1,2,4,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-63645,1,3,4,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-64008,1,5,3.8,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-64190,1,0,1,1,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-65476,1,5,3.8,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-66233,1,0,1,1,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-66333,1,1,4,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-66858,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-67732,1,9,3.6363636363636362,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-67757,1,3,3,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-69110,1,2,3.5,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-69325,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-69597,1,2,3,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-69636,1,3,4,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-71925,1,3,4,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-71995,1,0,1,1,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-72746,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-72784,1,2,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-73394,1,2,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-73691,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-74955,1,5,3.8,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-76112,1,9,3.888888888888889,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-76164,1,1,2,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-76209,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-76308,1,0,2,2,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-76494,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-77215,1,7,3.7142857142857144,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-77632,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-78955,1,1,2,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-79163,1,3,4,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-79444,1,4,3.25,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-79722,1,1,4,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-79924,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-80275,1,0,2,2,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-80453,1,9,4,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-80455,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-80912,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-81057,1,0,1,1,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-81237,1,9,4,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-81364,1,1,2.5,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-81449,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-82323,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-82833,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-84141,1,3,4,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-84323,1,5,3.2,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-84395,1,5,3.8,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-84839,1,3,3.3333333333333335,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-85053,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-87340,1,1,4,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-87858,1,3,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-88067,1,0,2,2,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-88135,1,0,2,2,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-89129,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-89205,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-89478,1,1,4,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-89482,1,3,4,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-90154,1,0,2,2,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-90538,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-90541,1,0,1,1,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-91501,1,0,2,2,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-92023,1,1,2.4,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-92044,1,3,4,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-92502,1,11,3.8181818181818183,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-93086,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-93924,1,0,2,2,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-93995,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-94182,1,2,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-95315,1,0,1,1,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-95561,1,10,3.9,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-95848,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-96305,1,3,4,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-96752,1,3,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-97535,1,3,4,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-97965,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-99701,1,3,4,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,00003e3b9e53,1,3,4,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,012d9fe15b24,1,12,3.75,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,0163cceb20f5,1,0,2,2,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,02f039058bd4,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,040d45ccc13c,1,3,4,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,04115ec378e4,1,1,2.4,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,066d47ae0c1f,1,7,3.7142857142857144,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,06c284d3f757,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,077fd57e57aa,1,0,1,1,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,084a8a9aa8cc,1,3,3.3333333333333335,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,09ab23b6b607,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,09eb27dec1a4,1,5,3.8,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,09fb05dd477d,1,1,2,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,0aa1883c6411,1,0,1.8,2,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,0c72cb7ee151,1,2,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,0d441de75945,1,9,4,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,0d7f9017fbda,1,9,4,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,0e087ec55dcb,1,5,3.8,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,1175defd049d,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,11dd08ef8df4,1,10,3.9,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,12e35d9186dd,1,3,4,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,139c3c1b7ca4,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,16bda725ae44,1,0,1,1,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,16e6a3326dd7,1,1,4,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,1980fa3bbff7,1,2,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,19ca14e7ea63,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,1e0f65eb20ac,1,0,2,2,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,1e669a61fb93,1,0,1,1,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,1e747ddbea99,1,0,1,1,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,1e7875cf32d3,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,1eb590c1259f,1,7,3.7142857142857144,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,1fb36c4ccf88,1,0,2,2,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,1fc5309ccc65,1,0,2,2,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,2151b4c76b4d,1,0,1,1,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,234e691320c0,1,5,3.4,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,23ce1851341e,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,250b164d84ea,1,0,2,2,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,28659414dab9,1,0,1,1,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,29263a8cf61f,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,2adcefe38fbc,1,2,4,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,2cd4e8a2ce08,1,0,2,2,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,2e64da0bae6a,1,2,4,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,2e6d9c6052e9,1,0,2,2,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,3001ef257407,1,3,4,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,30bb3825e8f6,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,33c5f5bff65a,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,358aee4cc897,1,4,3.5,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,3817157c9127,1,0,2,2,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,39b8f7215826,1,2,2.25,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,3a2a9aef4cbe,1,0,1,1,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,3bf75f7173e9,1,0,1,1,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,3ce6d3c8830d,1,0,2,2,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,3e883840fee4,1,3,3.3333333333333335,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,3f4366aeb9c1,1,2,4,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,4175a4b46a45,1,0,1,1,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,42cbf4730aea,1,3,4,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,43cf3ae60279,1,2,3.5,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,45b4f8abe6c1,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,482db0ecc10b,1,2,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,496e05e1aea0,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,49856ed476ad,1,2,4,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,499864301513,1,5,3.8,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,4a3050ae2c77,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,4d95d05a4fc4,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,4f714c73db51,1,9,3.888888888888889,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,51594de14eeb,1,9,3.6666666666666665,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,519c84155964,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,51e6d6e67995,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,544defa9fddf,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,58ec998e5f04,1,1,2.6666666666666665,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,5a2a330b175f,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,5a9542c77301,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,5b9373fc1691,1,1,4,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,5ba47c07b9b6,1,3,4,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,5bce843dd76d,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,5be278a9e02b,1,0,2,2,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,5e02b868a916,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,5ec91aac30ea,1,2,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,605ac7e4c16b,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,62d90d223cf3,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,66be31e4c40d,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,68053af2923e,1,7,3.7142857142857144,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,6933b5648c59,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,6a711a119a8a,1,0,2,2,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,6a783b626a6d,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,6ba0bf4c0fe3,1,3,4,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,6bc24fc1ab65,1,9,3.6363636363636362,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,6be93f7a96fe,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,6c990b7aca7b,1,2,3.5,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,6f3ef77ac0e3,1,5,3.8,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,6fe6a8a6e6cb,1,2,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,7059b7dea43d,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,71f538c5db46,1,0,1,1,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,722caafb4825,1,0,1,1,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,7302e3f5e7c0,1,0,1,1,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,74f23f9e28cb,1,2,3,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,75ac2c91d93e,1,3,4,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,76b7a3a5cf67,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,77d2afcb31f6,1,3,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,78f1893678af,1,2,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,7985672db979,1,1,4,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,7c590f014901,1,0,1,1,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,7d5430cf85f7,1,2,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
address,7e8d7e5ccbdd,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
